Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Property_Type,City,District,Land_Price_Per_M2,Land_Value
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,5.0,3.0,Sale contract,Full,8.1,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,9000.0
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.3,6.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,7.15,Nhà,Hồ Chí Minh,Quận 1,500.0,15000.0
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,4.7,Nhà,Hồ Chí Minh,Quận 1,500.0,32000.0
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,4.0,4.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Sale contract,Full,7.8,Chung cư,Hồ Chí Minh,Quận 7,180.0,28080.0
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,9000.0
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,5.3,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,2.38,Nhà,Hồ Chí Minh giá 2tỷ380,Quận 3,250.0,18505.0
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,Bắc,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,2.7,Nhà,Hồ Chí Minh,Quận 1,500.0,28000.0
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,4.0,4.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Sale contract,Basic,4.61,Nhà,Hồ Chí Minh,Quận 1,500.0,29000.0
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,4.085,5.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Basic,3.75,Nhà,Hồ Chí Minh,Quận 1,500.0,25200.0
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,4.2,5.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,4.3,Nhà,Hồ Chí Minh,Quận 1,500.0,27000.0
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,4.3,4.0,Đông - Nam,Đông - Nam,3.0,3.0,2.0,Have certificate,Basic,4.05,Nhà,Hồ Chí Minh,Quận 1,500.0,28700.0
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6.0,Tây - Nam,Tây - Nam,4.0,4.0,5.0,Have certificate,Full,9.2,Nhà,Hồ Chí Minh,Quận 5,120.0,6210.0
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,9.55,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,10350.0
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,6.8,Nhà,Hồ Chí Minh,Quận 1,500.0,27500.0
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Basic,4.29,Nhà,Hồ Chí Minh,Quận 4,160.0,9000.0
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,4.7,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,4.0,Nhà,Hồ Chí Minh,Quận 3,250.0,16250.0
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,Nam,Nam,5.0,5.0,6.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Bình Tân,55.0,4400.0
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,4.2,6.0,Đông - Bắc,Đông - Bắc,4.0,3.0,4.0,Have certificate,Full,6.78,Nhà,Hồ Chí Minh,Quận 1,500.0,19000.0
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,4.0,6.0,Đông - Nam,Đông - Nam,3.0,2.0,3.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,21000.0
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,4.0,2.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Basic,6.2,Nhà,Hồ Chí Minh,Quận 1,500.0,21750.0
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,4.2,Nhà,Hồ Chí Minh,Quận 1,500.0,11950.0
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4.0,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,5.5,Nhà,Hồ Chí Minh,Bình Tân,55.0,4328.5
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.7,Nhà,Hồ Chí Minh,Tân Phú,85.0,6120.0
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200.0,4.2,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,10.0,Nhà,Hồ Chí Minh,Quận 1,500.0,100000.0
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100.0,5.0,20.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,8.49,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,9000.0
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,4.0,8.0,Đông - Nam,Đông - Nam,2.0,3.0,2.0,Have certificate,Full,7.0,Nhà,Hồ Chí Minh,Quận 7,180.0,23760.0
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,4.3,3.0,Đông - Nam,Đông - Nam,1.0,2.0,1.0,Have certificate,Full,6.8,Nhà,Hồ Chí Minh,Quận 7,180.0,18360.0
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,7.1,2.5,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,6.6,Nhà,Hồ Chí Minh,Quận 7,180.0,18180.0
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,8.0,8.0,Bắc,Bắc,1.0,1.0,1.0,Sale contract,Full,5.8,Nhà,Hồ Chí Minh,Quận 1,500.0,40500.0
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.0,5.0,24.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,7.7,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,6750.0
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,4.0,6.0,Đông - Nam,Đông - Nam,4.0,6.0,4.0,Have certificate,Full,6.9,Nhà,Hồ Chí Minh,Tân Phú,85.0,5270.0
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,5.0,6.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Sale contract,Full,9.3,Nhà,Hồ Chí Minh,Gò Vấp,75.0,10725.0
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,4.3,5.0,Tây,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,8.6,Nhà,Hồ Chí Minh,Quận 7,180.0,15047.999999999998
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",50.0,9.0,6.0,Nam,Nam,2.0,2.0,2.0,Have certificate,Full,3.9,Nhà,Hồ Chí Minh,Quận 5,120.0,6000.0
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65.0,4.2,8.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,4.2,Nhà,Hồ Chí Minh,Quận 1,500.0,32500.0
"Hẻm 183, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",40.0,4.6,5.0,Tây,Đông - Nam,4.0,5.0,4.0,Have certificate,Full,9.1,Nhà,Hồ Chí Minh,Quận 1,500.0,20000.0
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66.0,4.0,12.0,Đông - Nam,Đông - Nam,4.0,5.0,3.0,Have certificate,Full,8.95,Nhà,Hồ Chí Minh,Quận 1,500.0,33000.0
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74.0,4.0,6.0,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Have certificate,Full,6.83,Nhà,Hồ Chí Minh,Tân Phú,85.0,6290.0
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,4.3,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,4.4,Nhà,Hồ Chí Minh,Quận 1,500.0,22500.0
"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45.0,5.0,24.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Sale contract,Basic,7.0,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,4050.0
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,6.0,Đông - Nam,Đông - Nam,4.0,4.0,3.0,Have certificate,Full,6.3,Chung cư,Hồ Chí Minh,Thủ Đức,100.0,5610.0
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,Tây,Tây,5.0,4.0,5.0,Have certificate,Basic,6.7,Chung cư,Hồ Chí Minh,Bình Tân,55.0,3520.0
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96.0,5.5,6.0,Đông - Nam,Đông - Nam,2.0,5.0,5.0,Sale contract,Full,8.5,Nhà,Hồ Chí Minh,Quận 1,500.0,48000.0
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31.0,6.2,6.0,Tây - Bắc,Tây - Bắc,3.0,4.0,3.0,Have certificate,Full,6.8,Nhà,Hồ Chí Minh,Quận 1,500.0,15500.0
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,Đông - Nam,Đông - Nam,5.0,6.0,6.0,Sale contract,Full,5.98,Chung cư,Hồ Chí Minh,Bình Tân,55.0,3520.0
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50.0,4.0,6.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,7.0,Nhà,Hồ Chí Minh,Tân Phú,85.0,4250.0
"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",68.0,4.0,5.0,Đông - Nam,Đông - Nam,1.0,3.0,3.0,Have certificate,Full,2.8,Nhà,Hồ Chí Minh,Quận 1,500.0,34000.0
"Đường 826C, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",40.0,5.0,6.0,Đông,Đông,2.0,2.0,2.0,Have certificate,Full,1.38,Nhà,Hồ Chí Minh,Quận 6,85.0,3400.0
"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",75.0,8.0,3.0,Đông - Nam,Đông - Nam,1.0,3.0,1.0,Have certificate,Empty,2.35,Nhà,Hồ Chí Minh,Hóc Môn,25.0,1875.0
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,6.0,30.0,Tây - Nam,Tây - Nam,3.0,3.0,4.0,Have certificate,Full,5.8,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,8100.0
"Đường Phạm Hùng, Phường 9, Quận 8, Hồ Chí Minh",86.0,4.0,3.0,Đông - Nam,Đông - Nam,2.0,8.0,2.0,Have certificate,Full,7.6,Nhà,Hồ Chí Minh,Quận 8,70.0,6020.0
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",53.0,4.085,5.0,Tây - Bắc,Đông - Nam,2.0,4.0,3.0,Have certificate,Full,4.35,Nhà,Hồ Chí Minh,Quận 1,500.0,26500.0
"Dự án KDC Bình Hưng, Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",72.0,5.0,10.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,8.35,Nhà,Hồ Chí Minh,Quận 5,120.0,8640.0
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",40.0,4.0,6.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Have certificate,Full,2.35,Nhà,Hồ Chí Minh,Bình Tân,55.0,2200.0
"Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",20.0,4.2,6.0,Đông - Nam,Đông - Nam,3.0,2.0,2.0,Have certificate,Full,2.8,Nhà,Hồ Chí Minh,Quận 8,70.0,1400.0
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52.0,4.5,8.0,Bắc,Bắc,4.0,4.0,3.0,Have certificate,Basic,7.2,Nhà,Hồ Chí Minh,Quận 7,180.0,9360.0
"Đường Trịnh Như Khuê, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",98.4,5.0,12.0,Tây - Bắc,Tây - Bắc,1.0,3.0,2.0,Have certificate,Full,1.19,Nhà,Hồ Chí Minh,Bình Chánh,35.0,3444.0
"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",26.4,4.0,4.8,Tây - Bắc,Đông - Nam,3.0,2.0,1.0,Have certificate,Full,3.85,Nhà,Hồ Chí Minh,Quận 1,500.0,13200.0
"551/263, Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60.0,5.0,9.0,Đông - Nam,Đông - Nam,3.0,4.0,5.0,Have certificate,Full,5.6,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.0,4.2,12.0,Tây - Nam,Tây - Nam,2.0,3.0,4.0,Have certificate,Basic,6.0,Nhà,Hồ Chí Minh,Thủ Đức,100.0,5100.0
"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",60.0,4.5,6.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Basic,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",11.0,3.0,4.15,Đông - Nam,Đông - Nam,3.0,2.0,2.0,Have certificate,Full,1.85,Nhà,Hồ Chí Minh,Quận 1,500.0,5500.0
"Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",110.0,4.4,7.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,5.0,Nhà,Hồ Chí Minh,Quận 1,500.0,55000.0
"22/30, Đường 21, Phường 8, Gò Vấp, Hồ Chí Minh",54.0,4.085,5.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,5.7,Nhà,Hồ Chí Minh,Quận 1,500.0,27000.0
"Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",58.3,4.0,12.0,Tây,Tây,3.0,4.0,5.0,Have certificate,Full,5.5,Nhà,Hồ Chí Minh,Bình Tân,55.0,3206.5
"86, Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",53.0,3.6,5.0,Đông - Nam,Đông - Nam,4.0,3.0,4.0,Sale contract,Basic,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,26500.0
"Đường Số 9, Phường 9, Gò Vấp, Hồ Chí Minh",30.0,4.085,8.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,3.75,Nhà,Hồ Chí Minh,Gò Vấp,75.0,2250.0
"Phường 7, Quận 8, Hồ Chí Minh",101.0,9.0,4.0,Đông - Nam,Đông - Nam,1.0,3.0,3.0,Have certificate,Full,4.8,Nhà,Hồ Chí Minh,Quận 7,180.0,18180.0
"Hẻm 47/, Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",20.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Sale contract,Full,3.45,Nhà,Hồ Chí Minh,Quận 4,160.0,3200.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",72.0,4.085,5.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Full,9.5,Chung cư,Hồ Chí Minh,Gò Vấp,75.0,5400.0
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",48.0,4.085,4.0,Tây - Nam,Đông - Nam,4.0,3.0,4.0,Have certificate,Full,6.2,Nhà,Hồ Chí Minh,Gò Vấp,75.0,3600.0
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",40.0,4.085,4.0,Đông - Nam,Đông - Nam,4.0,4.0,3.0,Have certificate,Full,5.6,Nhà,Hồ Chí Minh,Quận 1,500.0,20000.0
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",65.0,4.0,4.95,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,10.0,Nhà,Hồ Chí Minh,Quận 1,500.0,32500.0
"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",60.0,6.0,3.5,Tây - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Basic,8.0,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
"Đường Dương Công Khi, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",177.0,6.1,7.0,Đông - Nam,Đông - Nam,2.0,3.0,4.0,Have certificate,Basic,5.46,Nhà,Hồ Chí Minh,Hóc Môn,25.0,4425.0
"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",84.0,7.0,10.0,Tây - Bắc,Tây - Bắc,3.0,8.0,6.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,42000.0
"Phường An Phú, Quận 2, Hồ Chí Minh",80.0,5.0,6.0,Đông - Nam,Đông - Nam,3.0,5.0,5.0,Have certificate,Basic,6.9,Nhà,Hồ Chí Minh,Quận 2 (Thủ Đức),180.0,14400.0
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",52.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,1.0,1.0,Sale contract,Full,7.0,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,4680.0
"Phường Phước Bình, Quận 9, Hồ Chí Minh",70.0,5.0,8.0,Đông - Nam,Đông - Nam,4.0,5.0,3.0,Have certificate,Full,7.5,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,6300.0
"Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",58.0,4.0,6.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,6.39,Chung cư,Hồ Chí Minh,Tân Phú,85.0,4930.0
"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",52.0,4.7,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,5.3,Nhà,Hồ Chí Minh,Thủ Đức,100.0,5200.0
"Đường Kinh Dương Vương, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",94.0,5.7,4.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,4.8,Nhà,Hồ Chí Minh,Bình Tân,55.0,5170.0
"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",45.5,3.7,4.95,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,3.25,Nhà,Hồ Chí Minh,Quận 3,260.0,11830.0
"Đường 182, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",71.0,4.7,4.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Basic,4.9,Nhà,Hồ Chí Minh,Quận 1,500.0,35500.0
"Đường 53, Phường 14, Gò Vấp, Hồ Chí Minh",64.0,5.0,10.0,Bắc,Bắc,4.0,4.0,5.0,Have certificate,Full,8.0,Nhà,Hồ Chí Minh,Quận 1,500.0,32000.0
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",88.6,4.085,5.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,Full,9.5,Nhà,Hồ Chí Minh,Quận 1,500.0,44300.0
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,6.0,30.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Sale contract,Full,5.95,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,8100.0
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",102.6,7.0,3.0,Đông,Đông,1.0,2.0,2.0,Have certificate,Full,5.6,Nhà,Hồ Chí Minh,Quận 7,180.0,18468.0
"Phường 13, Phú Nhuận, Hồ Chí Minh",62.0,4.3,4.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Have certificate,Full,8.9,Nhà,Hồ Chí Minh,Quận 1,500.0,31000.0
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60.0,4.0,8.0,Tây - Bắc,Đông - Nam,3.0,4.0,5.0,Have certificate,Full,7.45,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
