Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,5.0,30.0,Đông - Bắc,Đông - Bắc,3.0,1.0,1.0,Sale contract,Basic,4.3
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,5.0,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Full,5.3
"Phụng Châu, Chương Mỹ, Hà Nội",38.0,4.0,3.5,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,2.1
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,Bắc,Bắc,3.0,3.0,4.0,Sale contract,Full,5.95
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,16.0,Nam,Nam,2.0,4.0,3.0,Sale contract,Full,3.2
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,17.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Sale contract,Full,6.6
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85.0,5.0,16.0,Đông - Nam,Đông - Nam,2.0,4.0,5.0,Have certificate,Full,5.9
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.7,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,9.5
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,5.0,10.0,Đông - Nam,Đông - Nam,5.0,4.0,3.5,Have certificate,Full,9.7
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,17.0,Đông - Nam,Đông - Nam,4.0,3.5,3.0,Sale contract,Full,6.7
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,1.0,1.0,Have certificate,Full,4.1
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Full,7.7
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,4.2,6.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Sale contract,Full,6.2
"Dự án Phú Cường, Đường 3/2, Phường An Hòa, Rạch Giá, Kiên Giang",150.0,5.0,29.0,Tây,Tây,2.0,3.0,3.0,Sale contract,Full,4.9
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3.0,3.0,4.0,Have certificate,Full,10.0
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,5.0,3.0,Sale contract,Full,8.1
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.3,6.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,7.15
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",54.0,5.0,13.0,Tây - Bắc,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,8.15
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,Đông - Nam,Đông - Nam,5.0,6.0,4.0,Have certificate,Full,7.6
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,3.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,9.5
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80.0,5.0,10.0,Đông - Nam,Đông - Nam,5.0,4.0,3.5,Sale contract,Full,10.0
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",120.0,7.525,12.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,3.1
"Dự án Itaewon An Dương, Đường Quốc Lộ 10, Xã Lê Lợi, An Dương, Hải Phòng",82.5,4.5,15.5,Tây - Bắc,Đông - Nam,4.0,4.0,3.0,Have certificate,Full,5.71
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,6.5
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,7.65
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",200.0,10.0,13.0,Đông - Nam,Tây - Bắc,2.0,3.0,3.0,Sale contract,Full,5.6
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120.0,6.0,16.5,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,8.4
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,4.7
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,Đông - Nam,Đông - Nam,5.0,7.0,6.0,Sale contract,Full,8.9
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,5.6
"Dự án Vườn Vua Resort & Villas, Đường Trung Thịnh, Xã Đồng Trung, Thanh Thủy, Phú Thọ",368.0,15.0,12.0,Đông - Nam,Đông - Nam,2.0,4.0,3.5,Have certificate,Full,6.3
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,4.0,4.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Sale contract,Full,7.8
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,3.0,Đông - Bắc,Đông - Bắc,2.0,4.0,2.0,Have certificate,Full,9.5
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,4.0,3.5,Tây - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Basic,4.95
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100.0,4.0,3.5,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,7.5
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,2.0,Đông - Nam,Đông - Nam,4.0,3.0,4.0,Have certificate,Full,2.9
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5
"Dự án Sun Group Hà Nam, Đường Quốc lộ 1A, Xã Tiên Hiệp, Phủ Lý, Hà Nam",60.0,8.0,15.0,Đông - Nam,Đông - Nam,4.0,5.0,5.0,Have certificate,Full,4.5
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",85.0,7.75,15.0,Đông - Nam,Đông - Nam,4.0,4.0,6.0,Have certificate,Full,4.2
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,5.3,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,2.38
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",62.5,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,7.5
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",87.0,5.0,33.0,Đông - Nam,Tây - Bắc,5.0,5.0,5.0,Have certificate,Full,10.0
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,Bắc,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,2.7
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,16.0,Bắc,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,5.5
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,4.0,4.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Sale contract,Basic,4.61
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",35.0,5.0,2.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Have certificate,Full,6.85
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,4.085,5.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Basic,3.75
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,4.2,5.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,4.3
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,4.3,4.0,Đông - Nam,Đông - Nam,3.0,3.0,2.0,Have certificate,Basic,4.05
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.82,2.5,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,6.5
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151.0,4.0,6.0,Tây,Tây,2.0,4.0,3.0,Have certificate,Full,3.2
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6.0,Tây - Nam,Tây - Nam,4.0,4.0,5.0,Have certificate,Full,9.2
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",27.0,4.0,10.0,Đông - Nam,Đông - Nam,5.0,4.0,5.0,Have certificate,Full,7.65
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,9.55
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.0,5.0,18.5,Đông - Nam,Đông - Nam,5.0,4.0,3.5,Have certificate,Full,9.9
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",102.8,7.0,18.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,5.6
"Dự án The Empire - Vinhomes Ocean Park 2, Huyện Văn Giang, Hưng Yên",48.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,4.0,Have certificate,Full,5.8
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,6.8
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Basic,4.29
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,4.7,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,4.0
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,Nam,Nam,5.0,5.0,6.0,Have certificate,Full,6.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,4.0,13.0,Tây - Nam,Đông - Bắc,5.0,6.0,5.0,Sale contract,Full,7.0
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.0,3.0,2.0,Tây - Bắc,Tây - Bắc,5.0,3.0,4.0,Have certificate,Full,4.48
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,4.2,6.0,Đông - Bắc,Đông - Bắc,4.0,3.0,4.0,Have certificate,Full,6.78
"Dự án Phú Cường, Rạch Giá, Kiên Giang",150.0,5.0,38.0,Tây,Tây,2.0,3.0,3.0,Sale contract,Full,4.9
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,4.0,6.0,Đông - Nam,Đông - Nam,3.0,2.0,3.0,Have certificate,Full,6.5
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",30.0,3.4,3.0,Đông - Nam,Đông - Nam,6.0,4.0,5.0,Have certificate,Full,5.65
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78.0,6.0,13.0,Tây - Bắc,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,9.8
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,4.0,2.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Basic,6.2
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,4.2
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4.0,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,5.5
"Đường 17, Phường Tân Hiệp, Tân Uyên, Bình Dương",67.5,5.0,16.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,2.18
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.7
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60.0,4.0,3.0,Đông - Nam,Đông - Nam,4.0,4.0,3.0,Have certificate,Basic,2.65
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200.0,4.2,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,10.0
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36.0,4.0,3.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Basic,6.0
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100.0,5.0,20.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,8.49
"Dự án Eco City Premia, Phường Tân An, Buôn Ma Thuột, Đắk Lắk.",120.0,6.0,30.0,Đông - Nam,Đông - Nam,4.0,3.0,2.0,Have certificate,Full,5.85
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78.0,4.0,3.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,5.8
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,4.0,8.0,Đông - Nam,Đông - Nam,2.0,3.0,2.0,Have certificate,Full,7.0
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,4.3,3.0,Đông - Nam,Đông - Nam,1.0,2.0,1.0,Have certificate,Full,6.8
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,7.1,2.5,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,6.6
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,8.0,8.0,Bắc,Bắc,1.0,1.0,1.0,Sale contract,Full,5.8
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35.0,4.0,3.5,Đông - Nam,Đông - Nam,5.0,4.0,3.0,Have certificate,Full,3.5
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.0,5.0,24.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,7.7
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,4.0,6.0,Đông - Nam,Đông - Nam,4.0,6.0,4.0,Have certificate,Full,6.9
"Dự án Lavilla Green City, Đường Hùng Vương, Phường 6, Tân An, Long An",100.0,15.0,20.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,Full,3.9
"Ngõ 387, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",42.0,3.3,5.0,Nam,Đông - Nam,4.0,5.0,4.0,Have certificate,Full,8.8
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,5.0,6.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Sale contract,Full,9.3
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",180.0,9.0,40.0,Nam,Nam,3.0,5.0,4.0,Sale contract,Basic,9.7
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75.0,5.0,17.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Basic,8.6
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78.0,6.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Basic,9.4
